,Instanz,Makespan
0,0.0,1264.0
1,1.0,1261.0
2,2.0,1287.0
3,3.0,1273.0
4,4.0,1350.0
5,5.0,1338.0
6,6.0,1281.0
7,7.0,1276.0
8,8.0,1324.0
9,9.0,1338.0
10,10.0,1528.0
11,11.0,1568.0
12,12.0,1643.0
13,13.0,1469.0
14,14.0,1496.0
15,15.0,1555.0
16,16.0,1617.0
17,17.0,1572.0
18,18.0,1501.0
19,19.0,1531.0
20,20.0,1918.0
21,21.0,1861.0
22,22.0,1854.0
23,23.0,1897.0
24,24.0,1821.0
25,25.0,1896.0
26,26.0,1922.0
27,27.0,1830.0
28,28.0,1956.0
29,29.0,1806.0
30,30.0,2160.0
31,31.0,2205.0
32,32.0,2300.0
33,33.0,2217.0
34,34.0,2321.0
35,35.0,2218.0
36,36.0,2279.0
37,37.0,2102.0
38,38.0,2179.0
39,39.0,2144.0
40,40.0,2481.0
41,41.0,2524.0
42,42.0,2390.0
43,43.0,2581.0
44,44.0,2596.0
45,45.0,2476.0
46,46.0,2496.0
47,47.0,2479.0
48,48.0,2506.0
49,49.0,2414.0
50,50.0,3461.0
51,51.0,3263.0
52,52.0,3444.0
53,53.0,3142.0
54,54.0,3223.0
55,55.0,3443.0
56,56.0,3467.0
57,57.0,3365.0
58,58.0,3269.0
59,59.0,3344.0
60,60.0,3605.0
61,61.0,3635.0
62,62.0,3517.0
63,63.0,3431.0
64,64.0,3332.0
65,65.0,3632.0
66,66.0,3463.0
67,67.0,3336.0
68,68.0,3846.0
69,69.0,3792.0
70,70.0,6232.0
71,71.0,5973.0
72,72.0,6482.0
73,73.0,6062.0
74,74.0,6217.0
75,75.0,6370.0
76,76.0,6045.0
77,77.0,6143.0
78,78.0,6018.0
79,79.0,5848.0
